"session","treatment","player","stage","step","round","stageId","stepId","timestamp","time"
"room000027","standard","459092972828570",1,1,1,"consent","consent",1642683196551,534932
"room000027","standard","459092972828570",2,1,1,"instructions","instructions",1642683287140,90016
"room000027","standard","459092972828570",2,1,1,"instructions","instructions",1642684241201,35267
"room000027","standard","459092972828570",3,1,1,"demographics","demographics",1642685065269,823740
"room000027","standard","336501101218392",1,1,1,"consent","consent",1642685277764,2118
"room000027","standard","336501101218392",2,1,1,"instructions","instructions",1642685285347,7051
"room000027","standard","336501101218392",3,1,1,"demographics","demographics",1642685332915,47294
"room000027","standard","336501101218392",4,1,1,"demographics2","demographics2",1642685542329,209109
"room000027","standard","336501101218392",5,1,1,"self construal","self construal",1642685641270,98698
"room000027","standard","336501101218392",6,1,1,"blockchainquiz","blockchainquiz",1642686144217,502690
"room000027","standard","336501101218392",7,1,1,"blockchaininvolvement","blockchaininvolvement",1642686582600,437987
"room000027","standard","336501101218392",8,1,1,"surveydone","surveydone",1642686658275,75371
